積載日,トラック名,製品コード,製品名,容器数,合計数量,納期,体積積載率(%),重量積載率(%),前倒し配送
,,,,,,,,,
2025-10-24,NO_2_10T,V053103705,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",3,9,2025-10-24,77.9,0,×
2025-10-24,NO_2_10T,V065104703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",14,42,2025-10-24,77.9,0,×
2025-10-24,NO_4_10T,V053904703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",18,54,2025-10-24,84.3,0,×
2025-10-24,NO_3_10T,V053143521,ﾌﾞﾗｹﾂﾄ(ﾌｱﾝ),6,48,2025-10-27,71.7,0,×
2025-10-24,NO_3_10T,V053143615,ｽﾃ-(ﾗｼﾞｴ-ﾀ),10,57,2025-10-27,71.7,0,×
2025-10-24,NO_3_10T,V065104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",6,48,2025-10-27,71.7,0,×
2025-10-24,NO_3_10T,V053104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",6,48,2025-10-27,71.7,0,×
,,,,,,,,,
2025-10-27,NO_2_10T,V053103705,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",2,6,2025-10-27,95.2,0,×
2025-10-27,NO_2_10T,V065104703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",20,60,2025-10-27,95.2,0,×
2025-10-27,NO_4_10T,V053904703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",20,60,2025-10-27,93.7,0,×
2025-10-27,NO_3_10T,V053143521,ﾌﾞﾗｹﾂﾄ(ﾌｱﾝ),8,64,2025-10-28,83.3,0,×
2025-10-27,NO_3_10T,V053143615,ｽﾃ-(ﾗｼﾞｴ-ﾀ),10,57,2025-10-28,83.3,0,×
2025-10-27,NO_3_10T,V065104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",5,40,2025-10-28,83.3,0,×
2025-10-27,NO_3_10T,V053104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",7,56,2025-10-28,83.3,0,×
,,,,,,,,,
2025-10-28,NO_2_10T,V065104703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",15,45,2025-10-28,77.9,0,×
2025-10-28,NO_2_10T,V065103703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",2,6,2025-10-28,77.9,0,×
2025-10-28,NO_4_10T,V053904703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",18,54,2025-10-28,84.3,0,×
2025-10-28,NO_3_10T,V053143521,ﾌﾞﾗｹﾂﾄ(ﾌｱﾝ),7,56,2025-10-29,83.3,0,×
2025-10-28,NO_3_10T,V053143615,ｽﾃ-(ﾗｼﾞｴ-ﾀ),10,57,2025-10-29,83.3,0,×
2025-10-28,NO_3_10T,V065104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",5,40,2025-10-29,83.3,0,×
2025-10-28,NO_3_10T,V053104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",7,56,2025-10-29,83.3,0,×
,,,,,,,,,
2025-10-29,NO_2_10T,V053103705,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",1,3,2025-10-29,69.3,0,×
2025-10-29,NO_2_10T,V065104703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",13,39,2025-10-29,69.3,0,×
2025-10-29,NO_2_10T,V065103703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",1,3,2025-10-29,69.3,0,×
2025-10-29,NO_4_10T,V053904703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",18,54,2025-10-29,84.3,0,×
2025-10-29,NO_3_10T,V053143521,ﾌﾞﾗｹﾂﾄ(ﾌｱﾝ),7,56,2025-10-30,83.3,0,×
2025-10-29,NO_3_10T,V053143615,ｽﾃ-(ﾗｼﾞｴ-ﾀ),10,57,2025-10-30,83.3,0,×
2025-10-29,NO_3_10T,V065104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",6,48,2025-10-30,83.3,0,×
2025-10-29,NO_3_10T,V053104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",7,56,2025-10-30,83.3,0,×
,,,,,,,,,
2025-10-30,NO_2_10T,V053103705,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",1,3,2025-10-30,77.9,0,×
2025-10-30,NO_2_10T,V065104703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",14,42,2025-10-30,77.9,0,×
2025-10-30,NO_2_10T,V065103703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",2,6,2025-10-30,77.9,0,×
2025-10-30,NO_4_10T,V053904703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",19,57,2025-10-30,93.7,0,×
2025-10-30,NO_3_10T,V053143521,ﾌﾞﾗｹﾂﾄ(ﾌｱﾝ),7,56,2025-10-31,83.3,0,×
2025-10-30,NO_3_10T,V053143615,ｽﾃ-(ﾗｼﾞｴ-ﾀ),10,60,2025-10-31,83.3,0,×
2025-10-30,NO_3_10T,V065104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",5,40,2025-10-31,83.3,0,×
2025-10-30,NO_3_10T,V053104642,"ｶﾊﾞ-,ｺﾝﾌﾟ(ｴｱｺﾝ)",7,56,2025-10-31,83.3,0,×
,,,,,,,,,
2025-10-31,NO_2_10T,V065104703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",14,42,2025-10-31,69.3,0,×
2025-10-31,NO_2_10T,V065103703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",1,3,2025-10-31,69.3,0,×
2025-10-31,NO_4_10T,V053904703,"ﾌﾚ-ﾑ,ｺﾝﾌﾟ(ﾌﾛﾝﾄ)",19,57,2025-10-31,93.7,0,×
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
日付,警告内容,,,,,,,,
2025-10-10,❌ 積み残し: V053904703 (13容器) ※前倒し配送可能,,,,,,,,
2025-10-22,❌ 積み残し: V065103703 (1容器) ※前倒し不可,,,,,,,,
2025-10-27,❌ 積み残し: V053904703 (2容器) ※前倒し配送可能,,,,,,,,
